osm_type,id,categoria,lat,lon,name,sin_nombre
node,8711311440,luminaria,4.7147545,-74.0483028,Sin registro,True
node,8711311441,luminaria,4.7147324,-74.048441,Sin registro,True
node,8711311446,luminaria,4.7146649,-74.0481037,Sin registro,True
node,8711311451,luminaria,4.7146105,-74.0478656,Sin registro,True
node,8711311475,luminaria,4.7129582,-74.0480564,Sin registro,True
node,8711311476,luminaria,4.7129849,-74.0482861,Sin registro,True
node,8711311477,luminaria,4.7130297,-74.0485442,Sin registro,True
node,8711311478,luminaria,4.7130758,-74.0488125,Sin registro,True
node,8711311479,luminaria,4.7131179,-74.0490787,Sin registro,True
node,8711311480,luminaria,4.7131987,-74.0493871,Sin registro,True
node,8711311481,luminaria,4.7132395,-74.0496433,Sin registro,True
node,8711311482,luminaria,4.7132823,-74.0498994,Sin registro,True
node,8711311483,luminaria,4.713324,-74.0501509,Sin registro,True
node,8711311498,luminaria,4.7136191,-74.0520667,Sin registro,True
node,8711311499,luminaria,4.7137531,-74.0521533,Sin registro,True
node,8711311500,luminaria,4.7136751,-74.0523124,Sin registro,True
node,8711311525,luminaria,4.7135964,-74.0518175,Sin registro,True
node,8711311526,luminaria,4.7135606,-74.0515882,Sin registro,True
node,8711311527,luminaria,4.7135249,-74.0513783,Sin registro,True
node,8711311528,luminaria,4.7134911,-74.0511386,Sin registro,True
node,8711311541,luminaria,4.7134544,-74.0508982,Sin registro,True
node,8711311542,luminaria,4.7134122,-74.0506732,Sin registro,True
node,8711311550,luminaria,4.7133708,-74.0504174,Sin registro,True
node,8765671223,luminaria,4.7219019,-74.1335851,Sin registro,True
node,8765671224,luminaria,4.7217653,-74.1335866,Sin registro,True
node,8765671225,luminaria,4.7219035,-74.1334218,Sin registro,True
node,8765671226,luminaria,4.7217622,-74.1334172,Sin registro,True
node,8765671227,luminaria,4.7219557,-74.1337576,Sin registro,True
node,8765671228,luminaria,4.7220862,-74.1337638,Sin registro,True
node,8765671229,luminaria,4.7217238,-74.1332785,Sin registro,True
node,8765671230,luminaria,4.7218897,-74.1331953,Sin registro,True
node,8765671231,luminaria,4.721991,-74.1333078,Sin registro,True
node,8765671232,luminaria,4.7219956,-74.1336467,Sin registro,True
node,8889308857,luminaria,4.7076897,-74.0366074,Sin registro,True
node,8893841642,luminaria,4.7053925,-74.0366567,Sin registro,True
node,8895459083,luminaria,4.708218,-74.0394405,Sin registro,True
node,8895658943,luminaria,4.7061912,-74.0391572,Sin registro,True
node,8895673275,luminaria,4.7051288,-74.0390093,Sin registro,True
node,8895673276,luminaria,4.7058228,-74.0391056,Sin registro,True
node,8895673277,luminaria,4.7072082,-74.0393235,Sin registro,True
node,8895686120,luminaria,4.7045147,-74.0389564,Sin registro,True
node,8895686124,luminaria,4.7048856,-74.0392306,Sin registro,True
node,8895686125,luminaria,4.7047699,-74.039236,Sin registro,True
node,8895686129,luminaria,4.704675,-74.0390603,Sin registro,True
node,8895686132,luminaria,4.7047252,-74.0389493,Sin registro,True
node,8895686133,luminaria,4.7047496,-74.0390563,Sin registro,True
node,8895686137,luminaria,4.7048755,-74.0390506,Sin registro,True
node,8895686149,luminaria,4.704944,-74.0389828,Sin registro,True
node,8895686154,luminaria,4.705129,-74.0390301,Sin registro,True
node,8895686168,luminaria,4.7053093,-74.0390559,Sin registro,True
node,8895686169,luminaria,4.7054055,-74.0390667,Sin registro,True
node,8895686174,luminaria,4.7053253,-74.0390579,Sin registro,True
node,8895686175,luminaria,4.7055137,-74.0390807,Sin registro,True
node,8895686186,luminaria,4.705627,-74.0390854,Sin registro,True
node,8895686189,luminaria,4.7060116,-74.0391283,Sin registro,True
node,8895686195,luminaria,4.7065707,-74.0392182,Sin registro,True
node,8895686196,luminaria,4.7068654,-74.0392544,Sin registro,True
node,8895686199,luminaria,4.7070127,-74.0392732,Sin registro,True
node,8895686201,luminaria,4.7075931,-74.03936,Sin registro,True
node,8895686202,luminaria,4.7079483,-74.0394056,Sin registro,True
node,8899884711,luminaria,4.7040318,-74.0398539,Sin registro,True
node,8899884712,luminaria,4.7040712,-74.0395515,Sin registro,True
node,8899884713,luminaria,4.7040372,-74.0392725,Sin registro,True
node,8899890520,luminaria,4.7042737,-74.0384068,Sin registro,True
node,8899890521,luminaria,4.7043586,-74.0381145,Sin registro,True
node,8899890532,luminaria,4.7044281,-74.036878,Sin registro,True
node,8899890533,luminaria,4.7043132,-74.0377826,Sin registro,True
node,8899890534,luminaria,4.7044301,-74.0378275,Sin registro,True
node,8899890535,luminaria,4.704505,-74.0375425,Sin registro,True
node,8899890536,luminaria,4.7045825,-74.0371609,Sin registro,True
node,8899890537,luminaria,4.7045845,-74.0369866,Sin registro,True
node,8899890538,luminaria,4.7044695,-74.0364052,Sin registro,True
node,8899890539,luminaria,4.7045477,-74.0366869,Sin registro,True
node,8899890570,luminaria,4.704661,-74.0363707,Sin registro,True
node,8899890572,luminaria,4.7048592,-74.0364679,Sin registro,True
node,8899890573,luminaria,4.7051014,-74.0365031,Sin registro,True
node,8899890619,luminaria,4.7054172,-74.0364522,Sin registro,True
node,8899890622,luminaria,4.7054108,-74.0365554,Sin registro,True
node,8899890625,luminaria,4.7057132,-74.0366064,Sin registro,True
node,8899890626,luminaria,4.7059993,-74.0366567,Sin registro,True
node,8899890627,luminaria,4.7061155,-74.0365823,Sin registro,True
node,8899890630,luminaria,4.7064504,-74.0362718,Sin registro,True
node,8899890631,luminaria,4.7067244,-74.0363207,Sin registro,True
node,8899890632,luminaria,4.7070084,-74.036371,Sin registro,True
node,8899890633,luminaria,4.707281,-74.036422,Sin registro,True
node,8899890634,luminaria,4.7077378,-74.0369544,Sin registro,True
node,8899890635,luminaria,4.7077298,-74.0371462,Sin registro,True
node,8899890636,luminaria,4.707799,-74.037279,Sin registro,True
node,8899890637,luminaria,4.7078177,-74.0374205,Sin registro,True
node,8899890704,luminaria,4.7076456,-74.03648,Sin registro,True
node,8899890705,luminaria,4.7075911,-74.0358138,Sin registro,True
node,8899890706,luminaria,4.7076005,-74.0360928,Sin registro,True
node,8899890707,luminaria,4.7076299,-74.0362879,Sin registro,True
node,8906116988,luminaria,4.7045053,-74.0399256,Sin registro,True
node,8906116989,luminaria,4.7044398,-74.039927,Sin registro,True
node,8906116990,luminaria,4.7043887,-74.0399307,Sin registro,True
node,8908880197,luminaria,4.7075002,-74.0397738,Sin registro,True
node,8909010067,luminaria,4.7077649,-74.0397459,Sin registro,True
node,8909010068,luminaria,4.7076289,-74.039754,Sin registro,True
node,8909010076,luminaria,4.7074702,-74.0397758,Sin registro,True
node,8909012354,luminaria,4.7060267,-74.0398227,Sin registro,True
node,8909012355,luminaria,4.7060277,-74.0398415,Sin registro,True
node,8909012372,luminaria,4.7058649,-74.0398318,Sin registro,True
node,8909012374,luminaria,4.7057196,-74.0398411,Sin registro,True
node,8912804313,luminaria,4.7073586,-74.0399032,Sin registro,True
node,8912846929,luminaria,4.7074802,-74.0399156,Sin registro,True
node,8912846933,luminaria,4.7081652,-74.0398958,Sin registro,True
node,8912846934,luminaria,4.7079751,-74.0398495,Sin registro,True
node,8931955079,luminaria,4.7209189,-74.0346564,Sin registro,True
node,8936692027,luminaria,4.7212756,-74.0343651,Sin registro,True
node,8936692028,luminaria,4.7212255,-74.0343822,Sin registro,True
node,8936692029,luminaria,4.7211687,-74.0344026,Sin registro,True
node,8936692030,luminaria,4.7210159,-74.0344529,Sin registro,True
node,8936692031,luminaria,4.7209588,-74.0344737,Sin registro,True
node,8936692032,luminaria,4.720901,-74.0344925,Sin registro,True
node,8940513389,luminaria,4.7212914,-74.0336267,Sin registro,True
node,8940513390,luminaria,4.7211154,-74.0337718,Sin registro,True
node,8940513391,luminaria,4.7207132,-74.0338007,Sin registro,True
